Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,
10.42.0.151-104.46.62.41-58063-443-6,10.42.0.151,58063,104.46.62.41,443,6,13-06-2017 05:22,209484,1,2,913,309,913,913,913,0,309,0,154.5,218.4959954,5833.38107,14.32090279,104742,108832.2189,181698,27786,0,0,0,0,0,27786,27786,0,27786,27786,1,0,0,0,32,64,4.773634263,9.547268526,0,913,533.75,455.7275319,207687.5833,0,1,0,0,1,0,0,0,2,711.6666667,913,154.5,32,0,0,0,0,0,0,1,913,2,309,1505,511,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
10.42.0.151-104.46.62.41-58063-443-6,10.42.0.151,58063,104.46.62.41,443,6,13-06-2017 05:22,31308,2,0,85,0,85,0,42.5,60.1040764,0,0,0,0,2714.961032,63.88143605,31308,0,31308,31308,31308,31308,0,31308,31308,0,0,0,0,0,1,0,0,0,64,0,63.88143605,0,0,85,56.66666667,49.07477288,2408.333333,0,1,0,0,1,0,0,0,0,85,42.5,0,64,0,0,0,0,0,0,2,85,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
137.116.195.37-10.42.0.151-443-36864-6,10.42.0.151,36864,137.116.195.37,443,6,13-06-2017 05:22,13333,2,0,85,0,85,0,42.5,60.1040764,0,0,0,0,6375.159379,150.0037501,13333,0,13333,13333,13333,13333,0,13333,13333,0,0,0,0,0,1,0,0,0,64,0,150.0037501,0,0,85,56.66666667,49.07477288,2408.333333,0,1,0,0,1,0,0,0,0,85,42.5,0,64,0,0,0,0,0,0,2,85,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
137.116.195.37-10.42.0.151-443-36864-6,137.116.195.37,443,10.42.0.151,36864,6,13-06-2017 05:22,45,2,0,0,0,0,0,0,0,0,0,0,0,0,44444.44444,45,0,45,45,45,45,0,45,45,0,0,0,0,0,0,0,0,0,64,0,44444.44444,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,510,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.2.99-10.42.0.151-443-34482-6,10.42.0.151,34482,172.217.2.99,443,6,13-06-2017 05:22,22164,1,1,0,0,0,0,0,0,0,0,0,0,0,90.23641942,22164,0,22164,22164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,45.11820971,45.11820971,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,8170,1622,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.2.110-10.42.0.151-443-56284-6,10.42.0.151,56284,172.217.2.110,443,6,13-06-2017 05:22,22194,1,1,0,0,0,0,0,0,0,0,0,0,0,90.11444535,22194,0,22194,22194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,45.05722267,45.05722267,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,2433,428,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.2.99-10.42.0.151-443-34483-6,10.42.0.151,34483,172.217.2.99,443,6,13-06-2017 05:22,22171,1,1,0,0,0,0,0,0,0,0,0,0,0,90.20792928,22171,0,22171,22171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,45.10396464,45.10396464,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,3230,349,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.6.234-10.42.0.151-443-43824-6,10.42.0.151,43824,172.217.6.234,443,6,13-06-2017 05:22,36804,1,1,0,0,0,0,0,0,0,0,0,0,0,54.34191936,36804,0,36804,36804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.17095968,27.17095968,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,2034,426,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.19.195-10.42.0.151-443-39937-6,10.42.0.151,39937,172.217.19.195,443,6,13-06-2017 05:22,118922,1,1,0,0,0,0,0,0,0,0,0,0,0,16.81774609,118922,0,118922,118922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.408873043,8.408873043,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1502,382,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
10.42.0.151-104.41.208.54-35047-443-6,10.42.0.151,35047,104.41.208.54,443,6,13-06-2017 05:23,64883,2,0,85,0,85,0,42.5,60.1040764,0,0,0,0,1310.050398,30.82471526,64883,0,64883,64883,64883,64883,0,64883,64883,0,0,0,0,0,1,0,0,0,64,0,30.82471526,0,0,85,56.66666667,49.07477288,2408.333333,0,1,0,0,1,0,0,0,0,85,42.5,0,64,0,0,0,0,0,0,2,85,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
10.42.0.151-104.41.208.54-35047-443-6,104.41.208.54,443,10.42.0.151,35047,6,13-06-2017 05:23,6928,2,0,0,0,0,0,0,0,0,0,0,0,0,288.6836028,6928,0,6928,6928,6928,6928,0,6928,6928,0,0,0,0,0,0,0,0,0,64,0,288.6836028,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,509,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.0.238-10.42.0.151-443-45711-6,10.42.0.151,45711,172.217.0.238,443,6,13-06-2017 05:23,22358,1,1,0,0,0,0,0,0,0,0,0,0,0,89.45343948,22358,0,22358,22358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.72671974,44.72671974,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1635,426,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.0.238-10.42.0.151-443-35363-6,10.42.0.151,35363,172.217.0.238,443,6,13-06-2017 05:23,22358,1,1,0,0,0,0,0,0,0,0,0,0,0,89.45343948,22358,0,22358,22358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.72671974,44.72671974,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1424,404,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.3.106-10.42.0.151-443-55798-6,10.42.0.151,55798,172.217.3.106,443,6,13-06-2017 05:23,36704,1,1,0,0,0,0,0,0,0,0,0,0,0,54.48997384,36704,0,36704,36704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.24498692,27.24498692,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1635,541,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.0.238-10.42.0.151-443-37583-6,10.42.0.151,37583,172.217.0.238,443,6,13-06-2017 05:23,22465,1,1,0,0,0,0,0,0,0,0,0,0,0,89.02737592,22465,0,22465,22465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.51368796,44.51368796,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1635,349,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.0.238-10.42.0.151-443-52935-6,10.42.0.151,52935,172.217.0.238,443,6,13-06-2017 05:23,22461,1,1,0,0,0,0,0,0,0,0,0,0,0,89.04323049,22461,0,22461,22461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.52161524,44.52161524,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1679,349,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.2.98-10.42.0.151-443-45286-6,10.42.0.151,45286,172.217.2.98,443,6,13-06-2017 05:23,22476,1,1,0,0,0,0,0,0,0,0,0,0,0,88.98380495,22476,0,22476,22476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.49190247,44.49190247,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1546,349,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.3.106-10.42.0.151-443-59415-6,10.42.0.151,59415,172.217.3.106,443,6,13-06-2017 05:23,36254,1,1,0,0,0,0,0,0,0,0,0,0,0,55.16632647,36254,0,36254,36254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.58316324,27.58316324,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1546,362,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.3.106-10.42.0.151-443-56713-6,10.42.0.151,56713,172.217.3.106,443,6,13-06-2017 05:23,37038,1,1,0,0,0,0,0,0,0,0,0,0,0,53.99859604,37038,0,37038,37038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.99929802,26.99929802,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1479,768,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.0.238-10.42.0.151-443-38200-6,10.42.0.151,38200,172.217.0.238,443,6,13-06-2017 05:23,22541,1,2,23,0,23,23,23,0,0,0,0,0,1020.362894,133.0908123,11270.5,15364.72325,22135,406,0,0,0,0,0,406,406,0,406,406,1,0,0,0,32,64,44.3636041,88.7272082,0,23,11.5,13.27905619,176.3333333,0,1,0,0,1,0,0,0,2,15.33333333,23,0,32,0,0,0,0,0,0,1,23,2,0,1436,383,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.0.238-10.42.0.151-443-47230-6,10.42.0.151,47230,172.217.0.238,443,6,13-06-2017 05:23,22217,1,2,23,0,23,23,23,0,0,0,0,0,1035.243282,135.0317325,11108.5,15657.46546,22180,37,0,0,0,0,0,37,37,0,37,37,1,0,0,0,32,64,45.01057749,90.02115497,0,23,11.5,13.27905619,176.3333333,0,1,0,0,1,0,0,0,2,15.33333333,23,0,32,0,0,0,0,0,0,1,23,2,0,1768,426,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.0.238-10.42.0.151-443-35101-6,10.42.0.151,35101,172.217.0.238,443,6,13-06-2017 05:23,271,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,114391.1439,7380.073801,271,0,271,271,271,271,0,271,271,0,0,0,0,0,1,0,0,0,64,0,7380.073801,0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31,15.5,0,64,0,0,0,0,0,0,2,31,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.0.238-10.42.0.151-443-35101-6,172.217.0.238,443,10.42.0.151,35101,6,13-06-2017 05:23,234,2,0,0,0,0,0,0,0,0,0,0,0,0,8547.008547,234,0,234,234,234,234,0,234,234,0,0,0,0,0,0,0,0,0,64,0,8547.008547,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.0.238-10.42.0.151-443-40943-6,10.42.0.151,40943,172.217.0.238,443,6,13-06-2017 05:23,78,2,0,23,0,23,0,11.5,16.26345597,0,0,0,0,294871.7949,25641.02564,78,0,78,78,78,78,0,78,78,0,0,0,0,0,1,0,0,0,64,0,25641.02564,0,0,23,15.33333333,13.27905619,176.3333333,0,1,0,0,1,0,0,0,0,23,11.5,0,64,0,0,0,0,0,0,2,23,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.0.238-10.42.0.151-443-40943-6,172.217.0.238,443,10.42.0.151,40943,6,13-06-2017 05:23,45,2,0,0,0,0,0,0,0,0,0,0,0,0,44444.44444,45,0,45,45,45,45,0,45,45,0,0,0,0,0,0,0,0,0,64,0,44444.44444,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,426,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.2.100-10.42.0.151-443-57574-6,10.42.0.151,57574,172.217.2.100,443,6,13-06-2017 05:23,10452181,6,6,601,708,552,0,100.1666667,221.6794232,452,0,118,186.7276091,125.2370199,1.148085744,950198.2727,3094265.126,1.03E+07,7,1.04E+07,2085887.6,4580572.091,1.03E+07,7,1.04E+07,2077919,4602828.971,1.03E+07,7,1,0,0,0,192,192,0.574042872,0.574042872,0,552,143.1538462,223.9947344,50173.64103,0,1,0,0,1,0,0,0,1,155.0833333,100.1666667,118,192,0,0,0,0,0,0,6,601,6,708,1386,357,2,32,149857,0,149857,149857,1.03E+07,0,1.03E+07,1.03E+07,ADWARE_EWIND,
172.217.0.238-10.42.0.151-443-47139-6,10.42.0.151,47139,172.217.0.238,443,6,13-06-2017 05:23,8136472,10,13,1183,5343,902,0,118.3,281.1362066,1418,0,411,583.1354903,802.06753,2.826777994,369839.6364,1655926.826,7783141,18,8114061,901562.3333,2580977.016,7783141,87,8114074,676172.8333,2252275.259,7827195,18,0,0,0,0,340,424,1.229033911,1.597744084,0,1418,271.9166667,482.4437716,232751.9928,0,0,0,1,0,0,0,0,1,283.7391304,118.3,411,340,0,0,0,0,0,0,10,1183,13,5343,65535,362,4,32,330920,0,330920,330920,7783141,0,7783141,7783141,ADWARE_EWIND,
10.42.0.151-31.13.71.37-44479-443-6,31.13.71.37,443,10.42.0.151,44479,6,13-06-2017 05:23,16,2,0,42,0,42,0,21,29.69848481,0,0,0,0,2625000,125000,16,0,16,16,16,16,0,16,16,0,0,0,0,0,1,0,0,0,64,0,125000,0,0,42,28,24.24871131,588,0,1,0,0,1,0,0,0,0,42,21,0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
10.42.0.151-31.13.71.37-44479-443-6,31.13.71.37,443,10.42.0.151,44479,6,13-06-2017 05:23,47298,1,4,0,42,0,0,0,0,42,0,10.5,21,887.9868071,105.7127151,11824.5,13918.25143,28120,225,0,0,0,0,0,19178,6392.666667,10655.87652,18697,225,0,0,0,0,32,140,21.14254303,84.5701721,0,42,7,17.1464282,294,0,0,0,0,1,1,0,0,4,8.4,0,10.5,32,0,0,0,0,0,0,1,0,4,42,133,1631,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.2.163-10.42.0.151-443-54111-6,10.42.0.151,54111,172.217.2.163,443,6,13-06-2017 05:23,22548,1,1,0,0,0,0,0,0,0,0,0,0,0,88.69966294,22548,0,22548,22548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.34983147,44.34983147,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1546,349,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.10.106-10.42.0.151-443-53786-6,10.42.0.151,53786,172.217.10.106,443,6,13-06-2017 05:23,37305,1,1,0,0,0,0,0,0,0,0,0,0,0,53.61211634,37305,0,37305,37305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.80605817,26.80605817,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,2034,477,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.3.106-10.42.0.151-443-52087-6,10.42.0.151,52087,172.217.3.106,443,6,13-06-2017 05:23,36886,1,1,0,0,0,0,0,0,0,0,0,0,0,54.2211137,36886,0,36886,36886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.11055685,27.11055685,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1990,350,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
172.217.3.106-10.42.0.151-443-40393-6,10.42.0.151,40393,172.217.3.106,443,6,13-06-2017 05:23,37007,1,1,0,0,0,0,0,0,0,0,0,0,0,54.04382955,37007,0,37007,37007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.02191477,27.02191477,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,ADWARE_EWIND,
