Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.12.170-10.42.0.151-443-34649-6,10.42.0.151,34649,172.217.12.170,443,6,13-06-2017 11:56,36468,1,1,0,0,0,0,0,0,0,0,0,0,0,54.84260173,36468,0,36468,36468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.42130087,27.42130087,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,2034,395,0,32,0,0,0,0,0,0,0,0,ADWARE_FEIWO
10.42.0.151-47.88.49.240-59866-443-6,47.88.49.240,443,10.42.0.151,59866,6,13-06-2017 11:56,11,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,2818181.818,181818.1818,11,0,11,11,11,11,0,11,11,0,0,0,0,0,1,0,0,0,40,0,181818.1818,0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31,15.5,0,40,0,0,0,0,0,0,2,31,0,0,35,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_FEIWO
10.42.0.151-47.88.49.240-36062-443-6,47.88.49.240,443,10.42.0.151,36062,6,13-06-2017 11:56,13,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,2384615.385,153846.1538,13,0,13,13,13,13,0,13,13,0,0,0,0,0,1,0,0,0,40,0,153846.1538,0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31,15.5,0,40,0,0,0,0,0,0,2,31,0,0,35,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_FEIWO
211.103.153.123-10.42.0.151-443-37568-6,211.103.153.123,443,10.42.0.151,37568,6,13-06-2017 11:56,13,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,2384615.385,153846.1538,13,0,13,13,13,13,0,13,13,0,0,0,0,0,1,0,0,0,40,0,153846.1538,0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31,15.5,0,40,0,0,0,0,0,0,2,31,0,0,20,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_FEIWO
10.42.0.151-60.205.149.64-34525-80-6,60.205.149.64,80,10.42.0.151,34525,6,13-06-2017 11:56,779183,2,1,0,0,0,0,0,0,0,0,0,0,0,3.85018667,389591.5,412789.847,681478,97705,779183,779183,0,779183,779183,0,0,0,0,0,0,0,0,0,64,32,2.566791113,1.283395557,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,1,0,122,1386,0,32,0,0,0,0,0,0,0,0,ADWARE_FEIWO
172.217.12.170-10.42.0.151-443-60342-6,10.42.0.151,60342,172.217.12.170,443,6,13-06-2017 11:56,36775,1,1,0,0,0,0,0,0,0,0,0,0,0,54.38477226,36775,0,36775,36775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.19238613,27.19238613,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,4205,383,0,32,0,0,0,0,0,0,0,0,ADWARE_FEIWO
203.205.158.53-10.42.0.151-443-46070-6,203.205.158.53,443,10.42.0.151,46070,6,13-06-2017 11:56,30,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,1033333.333,66666.66667,30,0,30,30,30,30,0,30,30,0,0,0,0,0,1,0,0,0,64,0,66666.66667,0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31,15.5,0,64,0,0,0,0,0,0,2,31,0,0,139,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_FEIWO
10.42.0.151-47.88.68.21-57008-443-6,10.42.0.151,57008,47.88.68.21,443,6,13-06-2017 11:56,346774,9,6,328,4518,202,0,36.44444444,74.77150378,1452,0,753,694.7664356,13974.51943,43.2558381,24769.57143,35508.75451,87391,2,346774,43346.75,56187.22798,126334,2,229648,45929.6,63177.5832,126442,52,0,0,0,0,200,140,25.95350286,17.30233524,0,1452,302.875,541.8796761,293633.5833,0,0,0,1,0,0,0,0,0,323.0666667,36.44444444,753,200,0,0,0,0,0,0,9,328,6,4518,65535,15544,2,20,0,0,0,0,0,0,0,0,ADWARE_FEIWO
10.42.0.151-47.88.68.21-57008-443-6,47.88.68.21,443,10.42.0.151,57008,6,13-06-2017 11:56,3217,3,0,327,0,258,0,109,133.5702063,0,0,0,0,101647.4977,932.5458502,1608.5,1953.736036,2990,227,3217,1608.5,1953.736036,2990,227,0,0,0,0,0,1,0,0,0,60,0,932.5458502,0,0,258,146.25,132.0766823,17444.25,0,1,0,0,1,0,0,0,0,195,109,0,60,0,0,0,0,0,0,3,327,0,0,15544,-1,1,20,0,0,0,0,0,0,0,0,ADWARE_FEIWO
10.42.0.151-66.231.239.122-38155-80-6,10.42.0.151,38155,66.231.239.122,80,6,13-06-2017 11:56,10395392,3,1,0,0,0,0,0,0,0,0,0,0,0,0.384785874,3465130.667,5910160.407,1.03E+07,23954,1.04E+07,5197696,7200918.073,1.03E+07,105878,0,0,0,0,0,0,0,0,0,80,32,0.288589406,0.096196469,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,3,0,1,0,65535,14600,0,20,0,0,0,0,0,0,0,0,ADWARE_FEIWO
