Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.6.202-10.42.0.211-443-50004-6,10.42.0.211,50004,172.217.6.202,443,6,13-06-2017 11:52,37027,1,1,0,0,0,0,0,0,0,0,0,0,0,54.01463797,37027,0,37027,37027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.00731898,27.00731898,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,2994,362,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
172.217.6.202-10.42.0.211-443-35455-6,10.42.0.211,35455,172.217.6.202,443,6,13-06-2017 11:52,36653,1,1,0,0,0,0,0,0,0,0,0,0,0,54.5657927,36653,0,36653,36653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.28289635,27.28289635,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,2860,362,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
131.253.61.68-10.42.0.211-443-51775-6,10.42.0.211,51775,131.253.61.68,443,6,13-06-2017 11:52,534099,8,12,1011,11924,581,0,126.375,207.7993108,1460,0,993.6666667,656.4743758,24218.35652,37.44624124,28110.47368,43148.09504,158676,8,481340,68762.85714,62376.18208,158676,449,487990,44362.72727,86342.04254,217790,8,0,0,0,0,180,244,14.9784965,22.46774474,0,1460,615.952381,672.7447864,452585.5476,0,0,0,1,0,0,0,0,1,646.75,126.375,993.6666667,180,0,0,0,0,0,0,8,1011,12,11924,65535,63441,3,20,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
131.253.61.68-10.42.0.211-443-51775-6,10.42.0.211,51775,131.253.61.68,443,6,13-06-2017 11:52,9309,3,0,0,0,0,0,0,0,0,0,0,0,0,322.2687722,4654.5,5137.130765,8287,1022,9309,4654.5,5137.130765,8287,1022,0,0,0,0,0,0,0,0,0,60,0,322.2687722,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,3,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
131.253.61.68-10.42.0.211-443-51776-6,10.42.0.211,51776,131.253.61.68,443,6,13-06-2017 11:52,19890496,8,6,430,5679,218,0,53.75,99.53857831,1460,0,946.5,710.4122043,307.131607,0.70385374,1530038.154,5377887.226,1.94E+07,7,1.99E+07,2841499.429,7314093.152,1.94E+07,639,410964,82192.8,154845.683,355945,7,0,0,0,0,180,124,0.402202137,0.301651603,0,1460,407.2666667,626.9584706,393076.9238,0,0,0,1,0,0,0,0,0,436.3571429,53.75,946.5,180,0,0,0,0,0,0,8,430,6,5679,65535,64022,2,20,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
10.42.0.211-23.208.43.179-50186-443-6,10.42.0.211,50186,23.208.43.179,443,6,13-06-2017 11:52,19196263,5,2,0,0,0,0,0,0,0,0,0,0,0,0.364654308,3199377.167,5886828.2,1.50E+07,3915,1.92E+07,4799065.75,7048340.736,1.52E+07,28574,1.50E+07,1.50E+07,0,1.50E+07,1.50E+07,0,0,0,0,188,80,0.260467363,0.104186945,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,5,0,2,0,65535,28960,0,32,1016299,0,1016299,1016299,1.50E+07,0,1.50E+07,1.50E+07,ADWARE_KEMOGE
10.42.0.211-23.208.43.179-50186-443-6,10.42.0.211,50186,23.208.43.179,443,6,13-06-2017 11:53,4304325,1,2,0,0,0,0,0,0,0,0,0,0,0,0.696973393,2152162.5,3007423.428,4278732,25593,0,0,0,0,0,4278732,4278732,0,4278732,4278732,0,0,0,0,32,64,0.232324464,0.464648929,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,32,0,0,0,0,0,0,1,0,2,0,1369,905,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
172.217.3.110-10.42.0.211-443-40087-6,10.42.0.211,40087,172.217.3.110,443,6,13-06-2017 11:53,37926,1,2,23,0,23,23,23,0,0,0,0,0,606.444128,79.10140801,18963,25819.29701,37220,706,0,0,0,0,0,706,706,0,706,706,1,0,0,0,32,64,26.367136,52.734272,0,23,11.5,13.27905619,176.3333333,0,1,0,0,1,0,0,0,2,15.33333333,23,0,32,0,0,0,0,0,0,1,23,2,0,1638,362,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
172.217.3.110-10.42.0.211-443-52564-6,10.42.0.211,52564,172.217.3.110,443,6,13-06-2017 11:53,36631,1,2,23,0,23,23,23,0,0,0,0,0,627.8834867,81.89784609,18315.5,25708.28124,36494,137,0,0,0,0,0,137,137,0,137,137,1,0,0,0,32,64,27.29928203,54.59856406,0,23,11.5,13.27905619,176.3333333,0,1,0,0,1,0,0,0,2,15.33333333,23,0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
10.42.0.211-31.13.71.3-46130-443-6,10.42.0.211,46130,31.13.71.3,443,6,13-06-2017 11:53,36535,1,2,0,31,0,0,0,0,31,0,15.5,21.92031022,848.501437,82.11304229,18267.5,25752.12186,36477,58,0,0,0,0,0,58,58,0,58,58,0,0,0,0,32,64,27.3710141,54.74202819,0,31,7.75,15.5,240.25,0,0,0,0,1,1,0,0,2,10.33333333,0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
10.42.0.211-31.13.71.1-47658-443-6,10.42.0.211,47658,31.13.71.1,443,6,13-06-2017 11:53,221194,2,0,0,0,0,0,0,0,0,0,0,0,0,9.041836578,221194,0,221194,221194,221194,221194,0,221194,221194,0,0,0,0,0,0,0,0,0,64,0,9.041836578,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
10.42.0.211-31.13.71.1-47658-443-6,10.42.0.211,47658,31.13.71.1,443,6,13-06-2017 11:53,914675,2,0,0,0,0,0,0,0,0,0,0,0,0,2.186569,914675,0,914675,914675,914675,914675,0,914675,914675,0,0,0,0,0,0,0,0,0,64,0,2.186569,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
10.42.0.211-31.13.71.1-47658-443-6,10.42.0.211,47658,31.13.71.1,443,6,13-06-2017 11:53,3692864,2,0,0,0,0,0,0,0,0,0,0,0,0,0.541585068,3692864,0,3692864,3692864,3692864,3692864,0,3692864,3692864,0,0,0,0,0,0,0,0,0,64,0,0.541585068,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
10.42.0.211-31.13.71.1-47658-443-6,10.42.0.211,47658,31.13.71.1,443,6,13-06-2017 11:53,14770330,2,0,0,0,0,0,0,0,0,0,0,0,0,0.135406589,1.48E+07,0,1.48E+07,1.48E+07,1.48E+07,1.48E+07,0,1.48E+07,1.48E+07,0,0,0,0,0,0,0,0,0,64,0,0.135406589,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
10.42.0.211-52.221.112.186-49564-7077-6,10.42.0.211,49564,52.221.112.186,7077,6,13-06-2017 11:53,65695129,4,4,568,442,568,0,142,284,442,0,110.5,221,15.37404699,0.12177463,9385018.429,2.45E+07,6.50E+07,2496,698108,232702.6667,204487.2367,406923,7569,6.54E+07,2.18E+07,3.74E+07,6.50E+07,22091,0,0,0,0,136,136,0.060887315,0.060887315,0,568,112.2222222,224.9009659,50580.44444,0,0,0,1,0,0,0,0,1,126.25,142,110.5,136,0,0,0,0,0,0,4,568,4,442,65535,149,1,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
10.42.0.211-121.41.26.103-33026-8090-6,10.42.0.211,33026,121.41.26.103,8090,6,13-06-2017 11:53,65823449,4,4,279,1200,279,0,69.75,139.5,1200,0,300,600,22.46919635,0.121537235,9403349.857,2.45E+07,6.49E+07,1724,940197,313399,262591.0454,481980,10844,6.55E+07,2.18E+07,3.74E+07,6.50E+07,1724,0,0,0,0,136,136,0.060768618,0.060768618,0,1200,164.3333333,399.1854206,159349,0,0,0,1,0,0,0,0,1,184.875,69.75,300,136,0,0,0,0,0,0,4,279,4,1200,65535,122,1,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
10.42.0.211-31.13.71.1-47706-443-6,10.42.0.211,47706,31.13.71.1,443,6,13-06-2017 11:53,71205206,5,6,217,257,217,0,43.4,97.04535022,138,0,42.83333333,56.08713459,6.656816638,0.154483087,7120520.6,2.04E+07,6.50E+07,32,6206497,1551624.25,3057191.657,6137349,539,7.12E+07,1.42E+07,2.85E+07,6.50E+07,32,0,0,0,0,168,200,0.070219585,0.084263502,0,217,39.5,70.77685806,5009.363636,0,0,0,1,0,0,0,0,1,43.09090909,43.4,42.83333333,168,0,0,0,0,0,0,5,217,6,257,65535,114,1,32,34574,2283.954903,36189,32959,3.56E+07,4.16E+07,6.50E+07,6137349,ADWARE_KEMOGE
10.42.0.211-31.13.71.1-47707-443-6,10.42.0.211,47707,31.13.71.1,443,6,13-06-2017 11:53,71166704,4,6,219,257,219,0,54.75,109.5,138,0,42.83333333,56.08713459,6.688521081,0.140515149,7907411.556,2.15E+07,6.50E+07,16,6165053,2055017.667,3502944.891,6099870,32260,7.11E+07,1.42E+07,2.85E+07,6.50E+07,16,0,0,0,0,136,200,0.05620606,0.084309089,0,219,43.27272727,73.55282579,5410.018182,0,0,0,1,0,0,0,0,1,47.6,54.75,42.83333333,136,0,0,0,0,0,0,4,219,6,257,65535,114,1,32,32591.5,468.8117959,32923,32260,3.56E+07,4.16E+07,6.50E+07,6099870,ADWARE_KEMOGE
10.42.0.211-31.13.71.37-50923-443-6,10.42.0.211,50923,31.13.71.37,443,6,13-06-2017 11:53,65110831,9,9,1404,751,1078,0,156,353.9897597,422,0,83.44444444,134.5149723,33.09741201,0.276451701,3830048.882,1.57E+07,6.48E+07,29,265556,33194.5,43731.02068,122500,937,6.51E+07,8135096.125,2.29E+07,6.48E+07,29,0,0,0,0,296,296,0.138225851,0.138225851,0,1078,113.4210526,256.5251376,65805.1462,0,0,0,1,0,0,0,0,1,119.7222222,156,83.44444444,296,0,0,0,0,0,0,9,1404,9,751,65535,122,3,32,265556,0,265556,265556,6.48E+07,0,6.48E+07,6.48E+07,ADWARE_KEMOGE
10.42.0.211-31.13.71.37-50923-443-6,10.42.0.211,50923,31.13.71.37,443,6,13-06-2017 11:54,436,3,0,42,0,42,0,14,24.24871131,0,0,0,0,96330.27523,6880.733945,218,155.5634919,328,108,436,218,155.5634919,328,108,0,0,0,0,0,0,0,0,0,96,0,6880.733945,0,0,42,10.5,21,441,0,0,0,0,1,0,0,0,0,14,14,0,96,0,0,0,0,0,0,3,42,0,0,1403,-1,1,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
172.217.6.202-10.42.0.211-443-37041-6,172.217.6.202,443,10.42.0.211,37041,6,13-06-2017 11:54,44,2,0,55,0,55,0,27.5,38.89087297,0,0,0,0,1250000,45454.54545,44,0,44,44,44,44,0,44,44,0,0,0,0,0,1,0,0,0,64,0,45454.54545,0,0,55,36.66666667,31.75426481,1008.333333,0,1,0,0,1,0,0,0,0,55,27.5,0,64,0,0,0,0,0,0,2,55,0,0,362,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
172.217.6.202-10.42.0.211-443-37041-6,10.42.0.211,37041,172.217.6.202,443,6,13-06-2017 11:54,25340,4,0,61,0,38,0,15.25,18.64358692,0,0,0,0,2407.261247,157.8531965,8446.666667,13784.01249,24358,143,25340,8446.666667,13784.01249,24358,143,0,0,0,0,0,0,0,0,0,128,0,157.8531965,0,0,38,12.2,17.52712184,307.2,0,0,0,0,1,0,0,0,0,15.25,15.25,0,128,0,0,0,0,0,0,4,61,0,0,1909,-1,2,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
10.42.0.211-31.13.69.203-58830-443-6,10.42.0.211,58830,31.13.69.203,443,6,13-06-2017 11:53,66893737,42,98,1366,106481,330,0,32.52380952,78.26385581,1398,0,1086.540816,551.3120464,1612.213711,2.092871564,481249.9065,5512557.066,6.50E+07,4,1893758,46189.21951,143128.6619,749579,15,6.69E+07,689266.6598,6599122.629,6.50E+07,4,0,0,0,0,1352,3144,0.627861469,1.465010095,0,1398,764.8723404,670.7404741,449892.7836,0,0,0,1,0,0,0,0,2,770.3357143,32.52380952,1086.540816,1352,0,0,0,0,0,0,42,1366,98,106481,65535,126,10,32,1893758,0,1893758,1893758,6.50E+07,0,6.50E+07,6.50E+07,ADWARE_KEMOGE
10.42.0.211-31.13.69.203-58830-443-6,31.13.69.203,443,10.42.0.211,58830,6,13-06-2017 11:54,32138,1,1,0,0,0,0,0,0,0,0,0,0,0,62.23162611,32138,0,32138,32138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,31.11581306,31.11581306,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,126,4885,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
10.42.0.211-31.13.69.228-34245-443-6,10.42.0.211,34245,31.13.69.228,443,6,13-06-2017 11:53,65472885,21,23,2596,9938,528,0,123.6190476,179.2401953,1398,0,432.0869565,513.0966516,191.4380281,0.672033927,1522625.233,9902875.314,6.49E+07,13,523321,26166.05,52347.77745,235017,115,6.54E+07,2974450.364,1.39E+07,6.50E+07,13,0,0,0,0,680,744,0.320743465,0.351290462,0,1398,278.5333333,414.4629384,171779.5273,0,0,0,1,0,0,0,0,1,284.8636364,123.6190476,432.0869565,680,0,0,0,0,0,0,21,2596,23,9938,65535,139,10,32,523321,0,523321,523321,6.49E+07,0,6.49E+07,6.49E+07,ADWARE_KEMOGE
10.42.0.211-31.13.69.228-34245-443-6,10.42.0.211,34245,31.13.69.228,443,6,13-06-2017 11:54,183,3,0,0,0,0,0,0,0,0,0,0,0,0,16393.44262,91.5,6.363961031,96,87,183,91.5,6.363961031,96,87,0,0,0,0,0,0,0,0,0,96,0,16393.44262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96,0,0,0,0,0,0,3,0,0,0,1824,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
