Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.11.1-10.42.0.211-443-47821-6,10.42.0.211,47821,172.217.11.1,443,6,13-06-2017 11:48,36899,1,1,0,0,0,0,0,0,0,0,0,0,0,54.20201089,36899,0,36899,36899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.10100545,27.10100545,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
172.217.12.170-10.42.0.211-443-45700-6,10.42.0.211,45700,172.217.12.170,443,6,13-06-2017 11:48,37123,1,1,0,0,0,0,0,0,0,0,0,0,0,53.87495623,37123,0,37123,37123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.93747811,26.93747811,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
172.217.7.132-10.42.0.211-443-58820-6,10.42.0.211,58820,172.217.7.132,443,6,13-06-2017 11:48,42389,1,1,0,0,0,0,0,0,0,0,0,0,0,47.18205195,42389,0,42389,42389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,23.59102597,23.59102597,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1637,349,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
198.105.244.11-10.42.0.211-80-51627-6,10.42.0.211,51627,198.105.244.11,80,6,13-06-2017 11:48,116695,3,4,264,223,264,0,88,152.4204711,223,0,55.75,111.5,4173.272205,59.98543211,19449.16667,21476.77633,49865,14,84197,42098.5,10983.48963,49865,34332,84568,28189.33333,48775.1304,84510,14,0,0,0,0,80,84,25.70804233,34.27738978,0,264,60.875,113.2499606,12825.55357,0,0,0,1,0,0,0,0,1,69.57142857,88,55.75,80,0,0,0,0,0,0,3,264,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
198.105.244.11-10.42.0.211-80-51627-6,10.42.0.211,51627,198.105.244.11,80,6,13-06-2017 11:48,20201,2,0,0,0,0,0,0,0,0,0,0,0,0,99.00499975,20201,0,20201,20201,20201,20201,0,20201,20201,0,0,0,0,0,0,0,0,0,40,0,99.00499975,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
172.217.7.132-10.42.0.211-443-58848-6,10.42.0.211,58848,172.217.7.132,443,6,13-06-2017 11:48,10055028,3,1,0,0,0,0,0,0,0,0,0,0,0,0.397810926,3351676,5766513.208,1.00E+07,2685,1.01E+07,5027514,7046628.787,1.00E+07,44795,0,0,0,0,0,0,0,0,0,104,40,0.298358195,0.099452732,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,65535,42408,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
172.217.12.170-10.42.0.211-443-33286-6,10.42.0.211,33286,172.217.12.170,443,6,13-06-2017 11:48,36583,1,1,0,0,0,0,0,0,0,0,0,0,0,54.67020201,36583,0,36583,36583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.335101,27.335101,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,4306,383,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
172.217.12.206-10.42.0.211-443-37303-6,10.42.0.211,37303,172.217.12.206,443,6,13-06-2017 11:48,36716,1,1,23,0,23,23,23,0,0,0,0,0,626.4298943,54.47216472,36716,0,36716,36716,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.23608236,27.23608236,0,23,15.33333333,13.27905619,176.3333333,0,1,0,0,1,0,0,0,1,23,23,0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
172.217.0.238-10.42.0.211-443-37003-6,10.42.0.211,37003,172.217.0.238,443,6,13-06-2017 11:48,22655,1,2,23,0,23,23,23,0,0,0,0,0,1015.228426,132.4210991,11327.5,15965.76401,22617,38,0,0,0,0,0,38,38,0,38,38,1,0,0,0,32,64,44.14036637,88.28073273,0,23,11.5,13.27905619,176.3333333,0,1,0,0,1,0,0,0,2,15.33333333,23,0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
172.217.0.238-10.42.0.211-443-56746-6,10.42.0.211,56746,172.217.0.238,443,6,13-06-2017 11:48,22452,1,1,23,0,23,23,23,0,0,0,0,0,1024.407625,89.07892393,22452,0,22452,22452,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,44.53946196,44.53946196,0,23,15.33333333,13.27905619,176.3333333,0,1,0,0,1,0,0,0,1,23,23,0,32,0,0,0,0,0,0,1,23,1,0,1594,477,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
