Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
210.22.60.188-10.42.0.211-80-55704-6,210.22.60.188,80,10.42.0.211,55704,6,14-06-2017 12:48,1003103,34,20,43692,0,1460,0,1285.058824,468.1667626,0,0,0,0,43556.84312,53.83295634,18926.4717,57193.40461,295448,6,898100,27215.15152,75205.453,309324,6,838806,44147.68421,115243.8451,402297,8,0,0,0,0,680,424,33.89482436,19.93813198,0,1460,794.4,728.6569228,530940.9111,0,0,0,0,1,0,0,0,0,809.1111111,1285.058824,0,680,0,0,0,0,0,0,34,43692,20,0,29,2738,33,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
210.22.60.188-10.42.0.211-80-42948-6,10.42.0.211,42948,210.22.60.188,80,6,14-06-2017 12:48,3572166,24,24,186,23919,93,0,7.75,26.25667617,1460,0,996.625,675.0766663,6748.006672,13.43722548,76003.53191,225635.556,1453672,5,3572166,155311.5652,322660.3031,1453672,8,3119567,135633.3478,401444.4919,1916800,5,0,0,0,0,548,504,6.718612741,6.718612741,0,1460,491.9387755,684.3357914,468315.4753,0,0,0,1,0,0,0,0,1,502.1875,7.75,996.625,548,0,0,0,0,0,0,24,186,24,23919,65535,29,2,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-120.55.250.217-36334-80-6,10.42.0.211,36334,120.55.250.217,80,6,14-06-2017 12:48,371091,1,1,0,0,0,0,0,0,0,0,0,0,0,5.389513623,371091,0,371091,371091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.694756812,2.694756812,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,20,0,0,0,0,0,0,1,0,1,0,1386,123,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
210.22.60.188-10.42.0.211-80-55704-6,210.22.60.188,80,10.42.0.211,55704,6,14-06-2017 12:48,3810504,2,3,2,0,1,1,1,0,0,0,0,0,0.524864952,1.312162381,952626,1708600.37,3507151,3346,300007,300007,0,300007,300007,3806804,1903402,2268043.586,3507151,299653,1,0,0,0,40,84,0.524864952,0.787297428,0,1,0.5,0.547722558,0.3,0,1,0,0,1,0,0,0,1,0.6,1,0,40,0,0,0,0,0,0,2,2,3,0,29,2738,1,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
172.217.2.106-10.42.0.211-443-50695-6,10.42.0.211,50695,172.217.2.106,443,6,14-06-2017 12:48,22456,1,1,0,0,0,0,0,0,0,0,0,0,0,89.06305664,22456,0,22456,22456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.53152832,44.53152832,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
172.217.2.174-10.42.0.211-443-60812-6,10.42.0.211,60812,172.217.2.174,443,6,14-06-2017 12:48,22264,1,1,0,0,0,0,0,0,0,0,0,0,0,89.8311175,22264,0,22264,22264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.91555875,44.91555875,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1594,349,0,32,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
210.22.60.188-10.42.0.211-80-55704-6,210.22.60.188,80,10.42.0.211,55704,6,14-06-2017 12:48,1311426,2,1,0,0,0,0,0,0,0,0,0,0,0,2.287586185,655713,913417.9125,1301597,9829,1311426,1311426,0,1311426,1311426,0,0,0,0,0,0,0,0,0,40,20,1.525057457,0.762528728,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,1,0,29,2738,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
210.22.60.188-10.42.0.211-80-40066-6,10.42.0.211,40066,210.22.60.188,80,6,14-06-2017 12:48,2461314,16,18,98,17568,98,0,6.125,24.5,1460,0,976,697.5610452,7177.466995,13.81375964,74585.27273,160289.9836,753207,7,2461314,164087.6,212874.4127,753207,31,1336719,78630.52941,132279.6744,443398,7,0,0,0,0,464,372,6.500592773,7.313166869,0,1460,504.7428571,696.8677545,485624.6672,0,0,0,1,0,0,0,0,1,519.5882353,6.125,976,464,0,0,0,0,0,0,16,98,18,17568,65535,29,1,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
210.22.60.188-10.42.0.211-80-42948-6,10.42.0.211,42948,210.22.60.188,80,6,14-06-2017 12:48,350808,1,1,0,0,0,0,0,0,0,0,0,0,0,5.701124262,350808,0,350808,350808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.850562131,2.850562131,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,20,0,0,0,0,0,0,1,0,1,0,2145,29,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
210.22.60.188-10.42.0.211-80-42085-6,10.42.0.211,42085,210.22.60.188,80,6,14-06-2017 12:48,1898524,10,9,94,7141,94,0,9.4,29.72541001,1460,0,793.4444444,733.301969,3810.85517,10.00777446,105473.5556,243370.3556,992001,7,1898524,210947.1111,321717.6166,992001,281,441812,55226.5,101809.929,293151,7,0,0,0,0,252,204,5.267249716,4.740524744,0,1460,361.75,622.3645805,387337.6711,0,0,0,1,0,0,0,0,0,380.7894737,9.4,793.4444444,252,0,0,0,0,0,0,10,94,9,7141,65535,29,1,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
210.22.60.188-10.42.0.211-80-42085-6,210.22.60.188,80,10.42.0.211,42085,6,14-06-2017 12:48,314466,2,1,1,0,1,0,0.5,0.707106781,0,0,0,0,3.179994022,9.539982065,157233,211311.7905,306653,7813,314466,314466,0,314466,314466,0,0,0,0,0,1,0,0,0,40,32,6.359988043,3.179994022,0,1,0.5,0.577350269,0.333333333,0,1,0,0,1,0,0,0,0,0.666666667,0.5,0,40,0,0,0,0,0,0,2,1,1,0,29,1597,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
210.22.60.188-10.42.0.211-80-44006-6,10.42.0.211,44006,210.22.60.188,80,6,14-06-2017 12:48,1630019,19,26,98,31697,98,0,5.157894737,22.48274192,1460,0,1219.115385,536.3777271,19505.9076,27.60704016,37045.88636,87112.43043,357057,5,1630019,90556.61111,129473.8118,376546,16,1134527,45381.08,101075.1538,393026,5,0,0,0,0,424,532,11.65630585,15.95073432,0,1460,691.1956522,728.2836023,530397.0053,0,0,0,1,0,0,0,0,1,706.5555556,5.157894737,1219.115385,424,0,0,0,0,0,0,19,98,26,31697,65535,29,1,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
210.22.60.188-10.42.0.211-80-44006-6,210.22.60.188,80,10.42.0.211,44006,6,14-06-2017 12:48,359559,2,1,1,0,1,0,0.5,0.707106781,0,0,0,0,2.781184729,8.343554187,179779.5,248606.7234,355571,3988,359559,359559,0,359559,359559,0,0,0,0,0,1,0,0,0,40,32,5.562369458,2.781184729,0,1,0.5,0.577350269,0.333333333,0,1,0,0,1,0,0,0,0,0.666666667,0.5,0,40,0,0,0,0,0,0,2,1,1,0,29,2373,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-40.69.219.199-37602-443-6,10.42.0.211,37602,40.69.219.199,443,6,14-06-2017 12:48,6008740,11,7,1391,4224,885,0,126.4545455,265.1785676,1448,0,603.4285714,632.8685638,934.4721189,2.995636356,353455.2941,816626.2582,2961905,6,6008740,600874,1011379.133,2961905,7849,3906432,651072,1208330.056,3078749,6,0,0,0,0,360,232,1.830666662,1.164969694,0,1448,295.5263158,481.4176252,231762.9298,0,0,0,1,0,0,0,0,0,311.9444444,126.4545455,603.4285714,360,0,0,0,0,0,0,11,1391,7,4224,65535,510,4,32,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-40.69.219.199-37602-443-6,40.69.219.199,443,10.42.0.211,37602,6,14-06-2017 12:48,46,2,0,0,0,0,0,0,0,0,0,0,0,0,43478.26087,46,0,46,46,46,46,0,46,46,0,0,0,0,0,0,0,0,0,64,0,43478.26087,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,510,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
