Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.19.195-10.42.0.151-443-40986-6,10.42.0.151,40986,172.217.19.195,443,6,14-06-2017 08:21,118786,1,1,0,0,0,0,0,0,0,0,0,0,0,16.83700099,118786,0,118786,118786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.418500497,8.418500497,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1502,349,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
10.42.0.151-104.46.62.41-33590-443-6,10.42.0.151,33590,104.46.62.41,443,6,14-06-2017 08:21,1014732,11,8,3091,3931,1428,0,281,475.9424335,1448,0,491.375,627.0000997,6920.053768,18.72415574,56374,60626.41798,168368,6,713133,71313.3,71950.76746,172263,165,892933,127561.8571,91102.45319,213517,6,0,0,0,0,360,264,10.84030069,7.883855047,0,1448,351.1,530.7322548,281676.7263,0,0,0,1,0,0,0,0,0,369.5789474,281,491.375,360,0,0,0,0,0,0,11,3091,8,3931,65535,513,5,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
10.42.0.151-104.46.62.41-33590-443-6,10.42.0.151,33590,104.46.62.41,443,6,14-06-2017 08:21,15630,2,0,85,0,85,0,42.5,60.1040764,0,0,0,0,5438.259757,127.9590531,15630,0,15630,15630,15630,15630,0,15630,15630,0,0,0,0,0,1,0,0,0,64,0,127.9590531,0,0,85,56.66666667,49.07477288,2408.333333,0,1,0,0,1,0,0,0,0,85,42.5,0,64,0,0,0,0,0,0,2,85,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
191.239.8.125-10.42.0.151-443-51222-6,10.42.0.151,51222,191.239.8.125,443,6,14-06-2017 08:20,2667547,12,7,1391,4224,885,0,115.9166667,255.4594643,1448,0,603.4285714,632.8685638,2104.93011,7.122648636,148197.0556,302178.6282,1287052,10,2667547,242504.2727,366944.4234,1287052,235,1203145,200524.1667,231333.5967,487659,10,0,0,0,0,392,232,4.498514928,2.624133708,0,1448,280.75,473.2141915,223931.6711,0,0,0,1,0,0,0,0,0,295.5263158,115.9166667,603.4285714,392,0,0,0,0,0,0,12,1391,7,4224,65535,510,4,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
191.239.8.125-10.42.0.151-443-51222-6,191.239.8.125,443,10.42.0.151,51222,6,14-06-2017 08:21,1741,2,0,0,0,0,0,0,0,0,0,0,0,0,1148.765078,1741,0,1741,1741,1741,1741,0,1741,1741,0,0,0,0,0,0,0,0,0,64,0,1148.765078,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,510,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
172.217.12.138-10.42.0.151-443-42330-6,10.42.0.151,42330,172.217.12.138,443,6,14-06-2017 08:21,2404466,7,4,2583,857,1368,0,369,537.1675716,565,0,214.25,246.1522226,1430.671093,4.574820355,240446.6,717088.3419,2279888,20,2404466,400744.3333,921202.7785,2279888,20,84986,28328.66667,48679.03239,84538,47,1,0,0,0,224,128,2.911249317,1.663571038,0,1368,321.1666667,424.6309271,180311.4242,0,1,0,0,1,0,0,0,0,350.3636364,369,214.25,224,0,0,0,0,0,0,7,2583,4,857,1546,477,2,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
216.58.219.238-10.42.0.151-443-48978-6,10.42.0.151,48978,216.58.219.238,443,6,14-06-2017 08:21,36533,1,1,0,0,0,0,0,0,0,0,0,0,0,54.74502505,36533,0,36533,36533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.37251252,27.37251252,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1635,426,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
216.58.219.238-10.42.0.151-443-38621-6,10.42.0.151,38621,216.58.219.238,443,6,14-06-2017 08:21,36748,1,1,0,0,0,0,0,0,0,0,0,0,0,54.4247306,36748,0,36748,36748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.2123653,27.2123653,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1901,533,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
172.217.12.193-10.42.0.151-443-43748-6,10.42.0.151,43748,172.217.12.193,443,6,14-06-2017 08:21,37072,1,1,0,0,0,0,0,0,0,0,0,0,0,53.94907208,37072,0,37072,37072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.97453604,26.97453604,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,2255,349,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
216.58.219.238-10.42.0.151-443-33172-6,10.42.0.151,33172,216.58.219.238,443,6,14-06-2017 08:21,36547,1,1,0,0,0,0,0,0,0,0,0,0,0,54.72405396,36547,0,36547,36547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.36202698,27.36202698,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1635,349,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
