Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.151-40.79.74.185-48686-443-6,10.42.0.151,48686,40.79.74.185,443,6,15-06-2017 04:12,17278,2,0,85,0,85,0,42.5,60.1040764,0,0,0,0,4919.550874,115.7541382,17278,0,17278,17278,17278,17278,0,17278,17278,0,0,0,0,0,1,0,0,0,64,0,115.7541382,0,0,85,56.66666667,49.07477288,2408.333333,0,1,0,0,1,0,0,0,0,85,42.5,0,64,0,0,0,0,0,0,2,85,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
10.42.0.151-40.79.74.185-48686-443-6,40.79.74.185,443,10.42.0.151,48686,6,15-06-2017 04:12,9084,2,0,0,0,0,0,0,0,0,0,0,0,0,220.1673272,9084,0,9084,9084,9084,9084,0,9084,9084,0,0,0,0,0,0,0,0,0,64,0,220.1673272,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,510,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
10.42.0.151-23.101.112.170-54294-443-6,10.42.0.151,54294,23.101.112.170,443,6,15-06-2017 04:12,529388,11,8,3091,3931,1428,0,281,475.9424335,1448,0,491.375,627.0000997,13264.3732,35.89049997,29410.44444,31478.88732,101094,9,413415,41341.5,36518.51717,101094,150,479527,68503.85714,67504.69795,189912,9,0,0,0,0,360,264,20.77871051,15.11178946,0,1448,351.1,530.7322548,281676.7263,0,0,0,1,0,0,0,0,0,369.5789474,281,491.375,360,0,0,0,0,0,0,11,3091,8,3931,65535,513,5,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
10.42.0.151-23.101.112.170-54294-443-6,10.42.0.151,54294,23.101.112.170,443,6,15-06-2017 04:12,42200,2,0,85,0,85,0,42.5,60.1040764,0,0,0,0,2014.218009,47.39336493,42200,0,42200,42200,42200,42200,0,42200,42200,0,0,0,0,0,1,0,0,0,64,0,47.39336493,0,0,85,56.66666667,49.07477288,2408.333333,0,1,0,0,1,0,0,0,0,85,42.5,0,64,0,0,0,0,0,0,2,85,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
10.42.0.151-85.17.31.122-60726-80-6,85.17.31.122,80,10.42.0.151,60726,6,15-06-2017 04:12,18,2,0,17,0,17,0,8.5,12.02081528,0,0,0,0,944444.4444,111111.1111,18,0,18,18,18,18,0,18,18,0,0,0,0,0,1,0,0,0,40,0,111111.1111,0,0,17,11.33333333,9.814954576,96.33333333,0,1,0,0,1,0,0,0,0,17,8.5,0,40,0,0,0,0,0,0,2,17,0,0,60,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
10.42.0.151-85.17.31.122-60726-80-6,10.42.0.151,60726,85.17.31.122,80,6,15-06-2017 04:12,583,2,0,0,0,0,0,0,0,0,0,0,0,0,3430.531732,583,0,583,583,583,583,0,583,583,0,0,0,0,0,0,0,0,0,40,0,3430.531732,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
172.217.11.46-10.42.0.151-443-35839-6,10.42.0.151,35839,172.217.11.46,443,6,15-06-2017 04:12,39,2,0,23,0,23,0,11.5,16.26345597,0,0,0,0,589743.5897,51282.05128,39,0,39,39,39,39,0,39,39,0,0,0,0,0,1,0,0,0,64,0,51282.05128,0,0,23,15.33333333,13.27905619,176.3333333,0,1,0,0,1,0,0,0,0,23,11.5,0,64,0,0,0,0,0,0,2,23,0,0,1436,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
172.217.11.46-10.42.0.151-443-35839-6,172.217.11.46,443,10.42.0.151,35839,6,15-06-2017 04:12,50,2,0,0,0,0,0,0,0,0,0,0,0,0,40000,50,0,50,50,50,50,0,50,50,0,0,0,0,0,0,0,0,0,64,0,40000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,426,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
10.42.0.151-23.101.112.170-54287-443-6,10.42.0.151,54287,23.101.112.170,443,6,15-06-2017 04:12,12617,2,0,85,0,85,0,42.5,60.1040764,0,0,0,0,6736.942221,158.5162875,12617,0,12617,12617,12617,12617,0,12617,12617,0,0,0,0,0,1,0,0,0,64,0,158.5162875,0,0,85,56.66666667,49.07477288,2408.333333,0,1,0,0,1,0,0,0,0,85,42.5,0,64,0,0,0,0,0,0,2,85,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
10.42.0.151-23.101.112.170-54287-443-6,23.101.112.170,443,10.42.0.151,54287,6,15-06-2017 04:12,15,2,0,0,0,0,0,0,0,0,0,0,0,0,133333.3333,15,0,15,15,15,15,0,15,15,0,0,0,0,0,0,0,0,0,64,0,133333.3333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,509,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
172.217.11.10-10.42.0.151-443-40191-6,10.42.0.151,40191,172.217.11.10,443,6,15-06-2017 04:12,400095,11,10,1585,4890,1308,0,144.0909091,389.7171935,1418,0,489,548.0750151,16183.65638,52.48753421,20004.75,26050.45912,89779,7,364107,36410.7,57791.29582,188502,14,362788,40309.77778,36687.87729,89779,7,0,0,0,0,372,328,27.4934703,24.99406391,0,1418,294.3181818,484.8246994,235054.9892,0,0,0,1,0,0,0,0,0,308.3333333,144.0909091,489,372,0,0,0,0,0,0,11,1585,10,4890,65535,362,4,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
172.217.11.46-10.42.0.151-443-52882-6,10.42.0.151,52882,172.217.11.46,443,6,15-06-2017 04:12,263,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,117870.7224,7604.562738,263,0,263,263,263,263,0,263,263,0,0,0,0,0,1,0,0,0,64,0,7604.562738,0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31,15.5,0,64,0,0,0,0,0,0,2,31,0,0,1679,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
172.217.11.46-10.42.0.151-443-52882-6,172.217.11.46,443,10.42.0.151,52882,6,15-06-2017 04:12,13,2,0,0,0,0,0,0,0,0,0,0,0,0,153846.1538,13,0,13,13,13,13,0,13,13,0,0,0,0,0,0,0,0,0,64,0,153846.1538,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
172.217.7.14-10.42.0.151-443-45756-6,10.42.0.151,45756,172.217.7.14,443,6,15-06-2017 04:12,98,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,316326.5306,20408.16327,98,0,98,98,98,98,0,98,98,0,0,0,0,0,1,0,0,0,64,0,20408.16327,0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31,15.5,0,64,0,0,0,0,0,0,2,31,0,0,1591,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
172.217.7.14-10.42.0.151-443-46069-6,10.42.0.151,46069,172.217.7.14,443,6,15-06-2017 04:12,36991,1,1,23,0,23,23,23,0,0,0,0,0,621.7728637,54.06720554,36991,0,36991,36991,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.03360277,27.03360277,0,23,15.33333333,13.27905619,176.3333333,0,1,0,0,1,0,0,0,1,23,23,0,32,0,0,0,0,0,0,1,23,1,0,1591,362,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
10.42.0.151-13.107.3.128-36121-443-6,10.42.0.151,36121,13.107.3.128,443,6,15-06-2017 04:12,15609,2,0,85,0,85,0,42.5,60.1040764,0,0,0,0,5445.57627,128.1312064,15609,0,15609,15609,15609,15609,0,15609,15609,0,0,0,0,0,1,0,0,0,64,0,128.1312064,0,0,85,56.66666667,49.07477288,2408.333333,0,1,0,0,1,0,0,0,0,85,42.5,0,64,0,0,0,0,0,0,2,85,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
10.42.0.151-13.107.3.128-36121-443-6,13.107.3.128,443,10.42.0.151,36121,6,15-06-2017 04:12,15292,3,0,0,0,0,0,0,0,0,0,0,0,0,196.1810097,7646,10755.09414,15251,41,15292,7646,10755.09414,15251,41,0,0,0,0,0,0,0,0,0,96,0,196.1810097,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96,0,0,0,0,0,0,3,0,0,0,1025,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
172.217.11.2-10.42.0.151-443-35001-6,10.42.0.151,35001,172.217.11.2,443,6,15-06-2017 04:12,343,2,0,23,0,23,0,11.5,16.26345597,0,0,0,0,67055.39359,5830.90379,343,0,343,343,343,343,0,343,343,0,0,0,0,0,1,0,0,0,64,0,5830.90379,0,0,23,15.33333333,13.27905619,176.3333333,0,1,0,0,1,0,0,0,0,23,11.5,0,64,0,0,0,0,0,0,2,23,0,0,1546,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
172.217.11.2-10.42.0.151-443-35001-6,172.217.11.2,443,10.42.0.151,35001,6,15-06-2017 04:12,251,2,0,0,0,0,0,0,0,0,0,0,0,0,7968.12749,251,0,251,251,251,251,0,251,251,0,0,0,0,0,0,0,0,0,64,0,7968.12749,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
10.42.0.151-52.220.249.114-51019-80-6,10.42.0.151,51019,52.220.249.114,80,6,15-06-2017 04:12,549976,3,3,412,161,412,0,137.3333333,237.8683109,161,0,53.66666667,92.95339334,1041.863645,10.90956696,109995.2,131802.7162,253950,45,295981,147990.5,199438.7605,289015,6966,296660,148330,209706.6581,296615,45,0,0,0,0,80,64,5.454783481,5.454783481,0,412,81.85714286,157.459443,24793.47619,0,0,0,1,0,0,0,0,1,95.5,137.3333333,53.66666667,80,0,0,0,0,0,0,3,412,3,161,65535,30016,1,20,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
