Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
216.58.219.202-10.42.0.211-443-60828-6,10.42.0.211,60828,216.58.219.202,443,6,15-06-2017 10:34,37746,1,2,31,0,31,31,31,0,0,0,0,0,821.2790759,79.47862025,18873,26349.62709,37505,241,0,0,0,0,0,241,241,0,241,241,1,0,0,0,32,64,26.49287342,52.98574683,0,31,15.5,17.89785834,320.3333333,0,1,0,0,1,0,0,0,2,20.66666667,31,0,32,0,0,0,0,0,0,1,31,2,0,2154,426,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
216.58.219.202-10.42.0.211-443-39253-6,10.42.0.211,39253,216.58.219.202,443,6,15-06-2017 10:34,33466585,16,18,2591,7891,680,0,161.9375,257.4147027,1418,0,438.3888889,446.0854757,313.2079356,1.015938734,1014138.939,5564213.375,3.20E+07,9,3.35E+07,2231105.667,8237799.407,3.20E+07,1174,1378778,81104.58824,111078.0468,359675,9,0,0,0,0,520,584,0.478088816,0.537849918,0,1418,299.4857143,387.9243689,150485.316,0,0,0,1,0,0,0,0,1,308.2941176,161.9375,438.3888889,520,0,0,0,0,0,0,16,2591,18,7891,65535,377,6,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.10.142-10.42.0.211-443-50765-6,10.42.0.211,50765,172.217.10.142,443,6,15-06-2017 10:35,36384,1,1,23,0,23,23,23,0,0,0,0,0,632.1459982,54.96921724,36384,0,36384,36384,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.48460862,27.48460862,0,23,15.33333333,13.27905619,176.3333333,0,1,0,0,1,0,0,0,1,23,23,0,32,0,0,0,0,0,0,1,23,1,0,1520,426,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.10.142-10.42.0.211-443-58733-6,10.42.0.211,58733,172.217.10.142,443,6,15-06-2017 10:35,36397,1,1,23,0,23,23,23,0,0,0,0,0,631.9202132,54.94958376,36397,0,36397,36397,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.47479188,27.47479188,0,23,15.33333333,13.27905619,176.3333333,0,1,0,0,1,0,0,0,1,23,23,0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.10.142-10.42.0.211-443-59307-6,10.42.0.211,59307,172.217.10.142,443,6,15-06-2017 10:35,120,2,0,23,0,23,0,11.5,16.26345597,0,0,0,0,191666.6667,16666.66667,120,0,120,120,120,120,0,120,120,0,0,0,0,0,1,0,0,0,64,0,16666.66667,0,0,23,15.33333333,13.27905619,176.3333333,0,1,0,0,1,0,0,0,0,23,11.5,0,64,0,0,0,0,0,0,2,23,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.10.142-10.42.0.211-443-59307-6,172.217.10.142,443,10.42.0.211,59307,6,15-06-2017 10:35,261,2,0,0,0,0,0,0,0,0,0,0,0,0,7662.835249,261,0,261,261,261,261,0,261,261,0,0,0,0,0,0,0,0,0,64,0,7662.835249,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.10.142-10.42.0.211-443-56649-6,10.42.0.211,56649,172.217.10.142,443,6,15-06-2017 10:34,34297227,15,11,8508,747,1368,0,567.2,678.6567826,425,0,67.90909091,132.1146885,269.8468888,0.75807878,1371889.08,6793636.494,3.40E+07,3,3.43E+07,2447147.143,9076179.782,3.40E+07,3,3.43E+07,3426024.7,1.08E+07,3.41E+07,339,0,0,0,0,488,360,0.437353142,0.320725638,0,1368,342.7777778,565.9114726,320255.7949,0,0,0,1,0,0,0,0,0,355.9615385,567.2,67.90909091,488,0,0,0,0,0,0,15,8508,11,747,65535,468,10,32,278826,0,278826,278826,3.40E+07,0,3.40E+07,3.40E+07,ADWARE_YOUMI
216.58.219.202-10.42.0.211-443-36573-6,10.42.0.211,36573,216.58.219.202,443,6,15-06-2017 10:34,48859847,22,40,1269,48419,1015,0,57.68181818,217.4322853,1418,0,1210.475,463.5190361,1016.949562,1.268935615,800981.0984,6205945.63,4.85E+07,5,4.89E+07,2326659.381,1.06E+07,4.85E+07,25,342498,8782,27496.81686,143938,5,0,0,0,0,712,1288,0.450267476,0.818668139,0,1418,788.6984127,682.3382388,465585.4721,0,0,0,1,0,0,0,0,1,801.4193548,57.68181818,1210.475,712,0,0,0,0,0,0,22,1269,40,48419,65535,362,3,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
10.42.0.211-31.13.71.3-45691-443-6,10.42.0.211,45691,31.13.71.3,443,6,15-06-2017 10:35,35662,1,2,0,31,0,0,0,0,31,0,15.5,21.92031022,869.2726151,84.1231563,17831,24982.08258,35496,166,0,0,0,0,0,166,166,0,166,166,0,0,0,0,32,64,28.0410521,56.0821042,0,31,7.75,15.5,240.25,0,0,0,0,1,1,0,0,2,10.33333333,0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
157.240.0.17-10.42.0.211-443-53962-6,10.42.0.211,53962,157.240.0.17,443,6,15-06-2017 10:35,442381,2,0,0,0,0,0,0,0,0,0,0,0,0,4.520989826,442381,0,442381,442381,442381,442381,0,442381,442381,0,0,0,0,0,0,0,0,0,64,0,4.520989826,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
